"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"エルナン・コルテス","エルナン・コルテス","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","エルナン・コルテスは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"フランシスコ・ピサロ","フランシスコ・ピサロ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","フランシスコ・ピサロは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"マリンチェ","マリンチェ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","マリンチェは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"トゥパク・アマル1世","トゥパク・アマル1世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","トゥパク・アマル1世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"トゥパク・アマル2世","トゥパク・アマル2世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","トゥパク・アマル2世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"クアウテモック","クアウテモック","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","クアウテモックは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"アタワルパ","アタワルパ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","アタワルパは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","図鑑"
"ポカホンタス","ポカホンタス","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ポカホンタスは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ワフンスナコック","ワフンスナコック","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ワフンスナコックは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"メタコメット","メタコメット","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","メタコメットは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"テカムセ","テカムセ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","テカムセは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"サミュエル・ド・シャンプラン","サミュエル・ド・シャンプラン","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","サミュエル・ド・シャンプランは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ピーター・ストイフェサント","ピーター・ストイフェサント","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ピーター・ストイフェサントは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ジャン・ド・ブレブフ","ジャン・ド・ブレブフ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ジャン・ド・ブレブフは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"マテオ・リッチ","マテオ・リッチ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","マテオ・リッチは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"フランシスコ・ザビエル","フランシスコ・ザビエル","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","フランシスコ・ザビエルは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"山田長政","山田長政","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","山田長政は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"支倉常長","支倉常長","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","支倉常長は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ウィリアム・アダムス","ウィリアム・アダムス","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ウィリアム・アダムスは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"織田信長","織田信長","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","織田信長は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"豊臣秀吉","豊臣秀吉","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","豊臣秀吉は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"徳川家康","徳川家康","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","徳川家康は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"エリザベス1世","エリザベス1世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","エリザベス1世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"フェリペ2世","フェリペ2世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","フェリペ2世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"イサベル1世","イサベル1世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","イサベル1世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"フェルナンド2世","フェルナンド2世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","フェルナンド2世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"アフォンソ・デ・アルブケルケ","アフォンソ・デ・アルブケルケ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","アフォンソ・デ・アルブケルケは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ザビエル・デ・メネゼス","ザビエル・デ・メネゼス","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ザビエル・デ・メネゼスは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"オラウダ・イクイアーノ","オラウダ・イクイアーノ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","オラウダ・イクイアーノは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"アンソニー・ジョンソン","アンソニー・ジョンソン","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","アンソニー・ジョンソンは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ンジンガ女王","ンジンガ女王","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ンジンガ女王は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"アフォンソ1世","アフォンソ1世","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","アフォンソ1世は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ベンキョウ","ベンキョウ","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","ベンキョウは海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"鄭成功","鄭成功","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","鄭成功は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"林則徐","林則徐","大航海と出会いの時代","海をこえた世界","航海と交流に関わった人","林則徐は海をこえた世界で航海、地図、交易、征服、宣教、抵抗に関わりました。世界が近づく一方で、植民地支配と被害が広がったことを考えます。","⛵","カタログのみ"
"ジョン・ロック","ジョン・ロック","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ジョン・ロックはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"モンテスキュー","モンテスキュー","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","モンテスキューはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ヴォルテール","ヴォルテール","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ヴォルテールはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ルソー","ルソー","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ルソーはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ディドロ","ディドロ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ディドロはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"メアリ・ウルストンクラフト","メアリ・ウルストンクラフト","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","メアリ・ウルストンクラフトはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"アダム・スミス","アダム・スミス","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","アダム・スミスはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"トマス・ペイン","トマス・ペイン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","トマス・ペインはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ベンジャミン・フランクリン","ベンジャミン・フランクリン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ベンジャミン・フランクリンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"トマス・ジェファーソン","トマス・ジェファーソン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","トマス・ジェファーソンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ジョン・アダムズ","ジョン・アダムズ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ジョン・アダムズはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"アビゲイル・アダムズ","アビゲイル・アダムズ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","アビゲイル・アダムズはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ラファイエット","ラファイエット","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ラファイエットはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ロベスピエール","ロベスピエール","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ロベスピエールはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ダントン","ダントン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ダントンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"マラー","マラー","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","マラーはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"オランプ・ド・グージュ","オランプ・ド・グージュ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","オランプ・ド・グージュはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"トゥサン・ルーヴェルチュール","トゥサン・ルーヴェルチュール","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","トゥサン・ルーヴェルチュールはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"ジャン＝ジャック・デサリーヌ","ジャン＝ジャック・デサリーヌ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ジャン＝ジャック・デサリーヌはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","図鑑"
"サン＝マルティン","サン＝マルティン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","サン＝マルティンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ベルナルド・オヒギンス","ベルナルド・オヒギンス","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ベルナルド・オヒギンスはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ミゲル・イダルゴ","ミゲル・イダルゴ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ミゲル・イダルゴはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ホセ・モレーロス","ホセ・モレーロス","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ホセ・モレーロスはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"アグスティン・デ・イトゥルビデ","アグスティン・デ・イトゥルビデ","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","アグスティン・デ・イトゥルビデはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ペドロ1世","ペドロ1世","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ペドロ1世はヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"エカチェリーナ2世","エカチェリーナ2世","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","エカチェリーナ2世はヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ピョートル1世","ピョートル1世","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ピョートル1世はヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"フリードリヒ2世","フリードリヒ2世","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","フリードリヒ2世はヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"マリア・テレジア","マリア・テレジア","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","マリア・テレジアはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ヨーゼフ2世","ヨーゼフ2世","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ヨーゼフ2世はヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ウィリアム・ウィルバーフォース","ウィリアム・ウィルバーフォース","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ウィリアム・ウィルバーフォースはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ハリエット・タブマン","ハリエット・タブマン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ハリエット・タブマンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"フレデリック・ダグラス","フレデリック・ダグラス","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","フレデリック・ダグラスはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"ソジャーナ・トゥルース","ソジャーナ・トゥルース","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","ソジャーナ・トゥルースはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"エイブラハム・リンカーン","エイブラハム・リンカーン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","エイブラハム・リンカーンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"クララ・バートン","クララ・バートン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","クララ・バートンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"エリザベス・キャディ・スタントン","エリザベス・キャディ・スタントン","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","エリザベス・キャディ・スタントンはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"スーザン・B・アンソニー","スーザン・B・アンソニー","革命と工場の時代","ヨーロッパと大西洋世界","革命と権利を動かした人","スーザン・B・アンソニーはヨーロッパと大西洋世界で市民革命、独立、啓蒙思想、奴隷制廃止、女性の権利に関わりました。自由や平等がだれに届いたのかを考える人物です。","🗽","カタログのみ"
"リチャード・アークライト","リチャード・アークライト","革命と工場の時代","工業化する世界","科学と産業を変えた人","リチャード・アークライトは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ジェームズ・ハーグリーブス","ジェームズ・ハーグリーブス","革命と工場の時代","工業化する世界","科学と産業を変えた人","ジェームズ・ハーグリーブスは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"サミュエル・クロムプトン","サミュエル・クロムプトン","革命と工場の時代","工業化する世界","科学と産業を変えた人","サミュエル・クロムプトンは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ジョージ・スティーブンソン","ジョージ・スティーブンソン","革命と工場の時代","工業化する世界","科学と産業を変えた人","ジョージ・スティーブンソンは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"イザムバード・キングダム・ブルネル","イザムバード・キングダム・ブルネル","革命と工場の時代","工業化する世界","科学と産業を変えた人","イザムバード・キングダム・ブルネルは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ロバート・フルトン","ロバート・フルトン","革命と工場の時代","工業化する世界","科学と産業を変えた人","ロバート・フルトンは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"アレッサンドロ・ボルタ","アレッサンドロ・ボルタ","革命と工場の時代","工業化する世界","科学と産業を変えた人","アレッサンドロ・ボルタは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"マイケル・ファラデー","マイケル・ファラデー","革命と工場の時代","工業化する世界","科学と産業を変えた人","マイケル・ファラデーは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"チャールズ・バベッジ","チャールズ・バベッジ","革命と工場の時代","工業化する世界","科学と産業を変えた人","チャールズ・バベッジは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"エイダ・ラブレス","エイダ・ラブレス","革命と工場の時代","工業化する世界","科学と産業を変えた人","エイダ・ラブレスは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ルイ・パスツール","ルイ・パスツール","革命と工場の時代","工業化する世界","科学と産業を変えた人","ルイ・パスツールは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"エドワード・ジェンナー","エドワード・ジェンナー","革命と工場の時代","工業化する世界","科学と産業を変えた人","エドワード・ジェンナーは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ジョン・スノー","ジョン・スノー","革命と工場の時代","工業化する世界","科学と産業を変えた人","ジョン・スノーは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"カール・マルクス","カール・マルクス","革命と工場の時代","工業化する世界","科学と産業を変えた人","カール・マルクスは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"フリードリヒ・エンゲルス","フリードリヒ・エンゲルス","革命と工場の時代","工業化する世界","科学と産業を変えた人","フリードリヒ・エンゲルスは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ロバート・オーウェン","ロバート・オーウェン","革命と工場の時代","工業化する世界","科学と産業を変えた人","ロバート・オーウェンは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ナポレオン3世","ナポレオン3世","革命と工場の時代","工業化する世界","科学と産業を変えた人","ナポレオン3世は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ビスマルク","ビスマルク","革命と工場の時代","工業化する世界","科学と産業を変えた人","ビスマルクは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"ガリバルディ","ガリバルディ","革命と工場の時代","工業化する世界","科学と産業を変えた人","ガリバルディは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","図鑑"
"カヴール","カヴール","革命と工場の時代","工業化する世界","科学と産業を変えた人","カヴールは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"マッツィーニ","マッツィーニ","革命と工場の時代","工業化する世界","科学と産業を変えた人","マッツィーニは工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"ヴィクトリア女王","ヴィクトリア女王","革命と工場の時代","工業化する世界","科学と産業を変えた人","ヴィクトリア女王は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"伊藤博文","伊藤博文","革命と工場の時代","工業化する世界","科学と産業を変えた人","伊藤博文は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"大久保利通","大久保利通","革命と工場の時代","工業化する世界","科学と産業を変えた人","大久保利通は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"木戸孝允","木戸孝允","革命と工場の時代","工業化する世界","科学と産業を変えた人","木戸孝允は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"福沢諭吉","福沢諭吉","革命と工場の時代","工業化する世界","科学と産業を変えた人","福沢諭吉は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"渋沢栄一","渋沢栄一","革命と工場の時代","工業化する世界","科学と産業を変えた人","渋沢栄一は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
"西郷隆盛","西郷隆盛","革命と工場の時代","工業化する世界","科学と産業を変えた人","西郷隆盛は工業化する世界で機械、工場、交通、通信、医学、社会思想に関わりました。便利さと労働問題が同時に広がった時代を示します。","⚙️","カタログのみ"
